,title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place,small_img_url
84,Andy Warhol,1972,1972-01-01,1972-01-01,three gelatin silver prints,2002.33.5.A-.C,cmoa:things/1e9185a8-8ed4-4143-99f0-152a63b6f1dc,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,6.875,4.875,1.25,0.0,https://collection.carnegieart.org/objects/1e9185a8-8ed4-4143-99f0-152a63b6f1dc,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/7963/CMA-2002-33-51-1.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/7963/sizes/CMA-2002-33-51-1-420.jpg
85,Andy Warhol,1958,1958-01-01,1958-01-01,gelatin silver print,2002.33.1,cmoa:things/116efc04-5a56-46fc-9c2b-add3cf09ee59,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,19.875,16.0,0.0,0.0,https://collection.carnegieart.org/objects/116efc04-5a56-46fc-9c2b-add3cf09ee59,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/127460/316-image.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/127460/sizes/316-image-420.jpg
86,Balthus and Setsuko,2000,2000-01-01,2000-01-01,gelatin silver print,2002.33.6,cmoa:things/b5e7da09-bccf-458a-b238-8b0e144eb239,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,13.875,11.0,1.375,0.0,https://collection.carnegieart.org/objects/b5e7da09-bccf-458a-b238-8b0e144eb239,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/8501/CMA-2002-33-6.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/8501/sizes/CMA-2002-33-6-420.jpg
87,A Gursky Gherkin is Just a Very Large Pickle,2001,2001-01-01,2001-01-01,chromogenic print with hand applied text,2002.33.7,cmoa:things/c326da61-1a32-4e47-8abb-268ef45dde84,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,72.0,48.0,1.875,0.0,https://collection.carnegieart.org/objects/c326da61-1a32-4e47-8abb-268ef45dde84,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/94520/318.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/94520/sizes/318-420.jpg
88,From the Dead Saint's Shit Series: St. Francis of Assisi's Feces with burning cross....,2001,2001-01-01,2001-01-01,chromogenic print with hand applied text,2002.33.8,cmoa:things/6340bb7b-c259-48d9-bc0b-a00fc0525640,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,29.625,37.625,0.75,0.0,https://collection.carnegieart.org/objects/6340bb7b-c259-48d9-bc0b-a00fc0525640,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/94519/319.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/94519/sizes/319-420.jpg
89,Duane's Super Shiner: Self Portrait in the Manner of Nan Goldin,2001,2001-01-01,2001-01-01,chromogenic prints with hand-applied text,2002.33.9.A-.B,cmoa:things/db1da765-dc84-452e-8535-ab709eb8d9b7,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,24.5,17.688,0.0,0.0,https://collection.carnegieart.org/objects/db1da765-dc84-452e-8535-ab709eb8d9b7,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/7975/CMA-2002-33-9-1.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/7975/sizes/CMA-2002-33-9-1-420.jpg
90,I Like Pussy,2001,2001-01-01,2001-01-01,toned gelatin silver print with hand applied text,2002.33.11,cmoa:things/6151dc35-35bf-4836-ab0b-0f5b837273dd,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,19.875,15.75,0.0,0.0,https://collection.carnegieart.org/objects/6151dc35-35bf-4836-ab0b-0f5b837273dd,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/11907/CMA-2002-33-11.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/11907/sizes/CMA-2002-33-11-420.jpg
91,An Unfortunate Tryst with Pipilotti Rist,2001,2001-01-01,2001-01-01,seven chromogenic prints with hand-applied text,2002.33.12.A-.G,cmoa:things/b1eb24fa-c3bb-4a7c-8604-d0812df5550a,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,10.0,8.0,0.0,0.0,https://collection.carnegieart.org/objects/b1eb24fa-c3bb-4a7c-8604-d0812df5550a,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/11898/CMA-2002-33-12-1.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/11898/sizes/CMA-2002-33-12-1-420.jpg
92,A Duane Michals Photograph of a Sherrie Levine Photograph of a Walker Evans Photograph,2001,2001-01-01,2001-01-01,gelatin silver print with hand applied text,2002.33.10,cmoa:things/f6133588-8981-4a36-a154-9e7f9379a56c,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,14.313,17.312,1.25,0.0,https://collection.carnegieart.org/objects/f6133588-8981-4a36-a154-9e7f9379a56c,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/11891/332.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/11891/sizes/332-420.jpg
93,Dr. Duanus's Infernal Tongue-in-Cheeky Journal,2001,2001-01-01,2001-01-01,chromogenic print,2002.33.13.A-.B,cmoa:things/c3574131-6ce5-414f-a13f-100056edb848,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,47.875,72.0,0.0,0.0,https://collection.carnegieart.org/objects/c3574131-6ce5-414f-a13f-100056edb848,"Pace/MacGill Gallery, New York",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/94517/334.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/94517/sizes/334-420.jpg
156,Harry Swank and John Walters,c. 1925,1920-01-01,1930-01-01,gelatin silver print,2002.54.1,cmoa:things/a8249234-6a3a-4d49-b537-c3fab453d500,Gift from John and Barbara Walters,2002-10-03,Photography,Not on View,9.25,11.5,0.0,0.0,https://collection.carnegieart.org/objects/a8249234-6a3a-4d49-b537-c3fab453d500,"John and Barbara Walters, Pittsburgh, PA",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/101442/437_cropped.jpg,cmoa:parties/9c730db3-7ca6-4e1d-ae3c-2968c1ad8ab9,Person,Luke Swank,"Swank, Luke",,American,1890-01-01,1944-01-01,"Johnstown, PA",,https://cmoa-collection-images.s3.amazonaws.com/thing/101442/sizes/437_cropped-420.jpg
157,Harry Swank and John Walters,c. 1925,1920-01-01,1930-01-01,gelatin silver print,2002.54.2,cmoa:things/8be052ea-f7fb-4065-a842-743ec15c97d7,Gift from John and Barbara Walters,2002-10-03,Photography,Not on View,4.5,3.5,0.875,0.0,https://collection.carnegieart.org/objects/8be052ea-f7fb-4065-a842-743ec15c97d7,"John and Barbara Walters, Pittsburgh, PA",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/101444/438.jpg,cmoa:parties/9c730db3-7ca6-4e1d-ae3c-2968c1ad8ab9,Person,Luke Swank,"Swank, Luke",,American,1890-01-01,1944-01-01,"Johnstown, PA",,https://cmoa-collection-images.s3.amazonaws.com/thing/101444/sizes/438-420.jpg
162,Harry Swank and John Walters,c. 1925,1920-01-01,1930-01-01,gelatin silver print,2002.54.3,cmoa:things/39428149-5999-48a3-af6e-91f7e8b56b46,Gift from John and Barbara Walters,2002-10-03,Photography,Not on View,8.0,9.875,0.0,0.0,https://collection.carnegieart.org/objects/39428149-5999-48a3-af6e-91f7e8b56b46,"John and Barbara Walters, Pittsburgh, PA",photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/101446/465.jpg,cmoa:parties/9c730db3-7ca6-4e1d-ae3c-2968c1ad8ab9,Person,Luke Swank,"Swank, Luke",,American,1890-01-01,1944-01-01,"Johnstown, PA",,https://cmoa-collection-images.s3.amazonaws.com/thing/101446/sizes/465-420.jpg
197,"working drawing for ""Syncline""",1980,1980-01-01,1980-01-01,graphite and red pencil on paper,2016.43.1,cmoa:things/a162fa69-c7c7-4523-aeb3-b813e427b271,Gift of the artist,2016-09-08,Contemporary Art,Not on View,19.875,10.0,0.0,0.0,https://collection.carnegieart.org/objects/a162fa69-c7c7-4523-aeb3-b813e427b271,"Mel Bochner; Carnegie Museum of Art, Pittsburgh, PA",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/121450/915.jpg,cmoa:parties/3e68bc81-0aaf-4422-bf8f-18a3ae0a82b5,Person,Mel Bochner,"Bochner, Mel",,American,1940-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/121450/sizes/915-420.jpg
198,"working drawing for ""Syncline""",1980,1980-01-01,1980-01-01,graphite and red pencil on paper,2016.43.2,cmoa:things/b1e7bf84-775f-45b1-98ba-12d46486f3df,Gift of the artist,2016-09-08,Contemporary Art,Not on View,19.875,10.0,0.0,0.0,https://collection.carnegieart.org/objects/b1e7bf84-775f-45b1-98ba-12d46486f3df,"Mel Bochner; Carnegie Museum of Art, Pittsburgh, PA",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/121451/916.jpg,cmoa:parties/3e68bc81-0aaf-4422-bf8f-18a3ae0a82b5,Person,Mel Bochner,"Bochner, Mel",,American,1940-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/121451/sizes/916-420.jpg
199,"working drawing for ""Syncline""",1980,1980-01-01,1980-01-01,graphite and casein on paper,2016.43.3,cmoa:things/3d0af767-6ec4-4424-8dde-2dfea5eba66d,Gift of the artist,2016-09-08,Contemporary Art,Not on View,20.125,10.25,0.0,0.0,https://collection.carnegieart.org/objects/3d0af767-6ec4-4424-8dde-2dfea5eba66d,"Mel Bochner; Carnegie Museum of Art, Pittsburgh, PA",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/121452/917.jpg,cmoa:parties/3e68bc81-0aaf-4422-bf8f-18a3ae0a82b5,Person,Mel Bochner,"Bochner, Mel",,American,1940-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/121452/sizes/917-420.jpg
297,The House I Once Called Home,2002,2002-01-01,2002-01-01,thirty gelatin silver prints with hand-applied text,2003.20.1.A-.DD,cmoa:things/ae07fee5-2fee-4221-9c4e-6e02ac162636,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,11.0,14.0,0.0,0.0,https://collection.carnegieart.org/objects/ae07fee5-2fee-4221-9c4e-6e02ac162636,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/11940/CMA-2003-20-1-1.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/11940/sizes/CMA-2003-20-1-1-420.jpg
298,Christ in New York,1981,1981-01-01,1981-01-01,six gelatin silver prints with hand-applied text,2003.20.2.A-.F,cmoa:things/9b488548-382d-45d8-92d3-cd336904a6b2,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,10.0,8.0,0.0,0.0,https://collection.carnegieart.org/objects/9b488548-382d-45d8-92d3-cd336904a6b2,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/12345/CMA-2003-20-2-1.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/12345/sizes/CMA-2003-20-2-1-420.jpg
299,Alice's Mirror,1974,1974-01-01,1974-01-01,seven gelatin silver prints with hand-applied text,2003.20.3.A-.G,cmoa:things/ded7869e-e7b5-47ef-82f4-0f38c7c03d88,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,6.875,4.875,1.5,0.0,https://collection.carnegieart.org/objects/ded7869e-e7b5-47ef-82f4-0f38c7c03d88,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/12358/CMA-2003-20-3-1.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/12358/sizes/CMA-2003-20-3-1-420.jpg
300,A Man Going to Heaven,1967,1967-01-01,1967-01-01,five gelatin silver prints with hand-applied text,2003.20.4.A-.E,cmoa:things/8ae7543c-fcfc-47d6-879c-fe54e3a8caa4,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,6.875,4.875,1.25,0.0,https://collection.carnegieart.org/objects/8ae7543c-fcfc-47d6-879c-fe54e3a8caa4,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/12330/CMA-2003-20-4-1.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/12330/sizes/CMA-2003-20-4-1-420.jpg
301,Three Views of Truffaut,1981,1981-01-01,1981-01-01,gelatin silver print with hand-applied text,2003.20.5,cmoa:things/74a66111-3f30-4406-b039-07de296230ba,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,17.375,14.313,1.25,0.0,https://collection.carnegieart.org/objects/74a66111-3f30-4406-b039-07de296230ba,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/7988/CMA-2003-20-5.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/7988/sizes/CMA-2003-20-5-420.jpg
302,Ludmilla Tchérina,1964,1964-01-01,1964-01-01,gelatin silver print,2003.20.6,cmoa:things/7bb9a208-13fc-47b9-b233-2aa30dc16d77,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,17.25,14.25,1.25,0.0,https://collection.carnegieart.org/objects/7bb9a208-13fc-47b9-b233-2aa30dc16d77,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/7989/CMA-2003-20-6.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/7989/sizes/CMA-2003-20-6-420.jpg
303,Willem de Kooning,1985,1985-01-01,1985-01-01,gelatin silver print,2003.20.7,cmoa:things/119a2b22-8320-4610-9390-0fd9c8d91a69,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,14.0,11.0,0.0,0.0,https://collection.carnegieart.org/objects/119a2b22-8320-4610-9390-0fd9c8d91a69,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/7990/CMA-2003-20-7.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/7990/sizes/CMA-2003-20-7-420.jpg
311,Self Portrait,c. 1938,1933-01-01,1943-01-01,gelatin silver print,2003.29.1,cmoa:things/390e34fd-7ad7-407d-8a87-6289d78a5087,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,3.5,5.0,0.0,0.0,https://collection.carnegieart.org/objects/390e34fd-7ad7-407d-8a87-6289d78a5087,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/38719/4397.jpg,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,,https://cmoa-collection-images.s3.amazonaws.com/thing/38719/sizes/4397-420.jpg
312,Self Portrait,c. 1938,1933-01-01,1946-01-01,platinum print,2003.29.2,cmoa:things/e22d2576-d26c-4bd4-b5b7-53fb6d3b2481,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,2.875,4.25,0.0,0.0,https://collection.carnegieart.org/objects/e22d2576-d26c-4bd4-b5b7-53fb6d3b2481,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/38722/4398.jpg,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,,https://cmoa-collection-images.s3.amazonaws.com/thing/38722/sizes/4398-420.jpg
313,Portrait of Anna Burns Munhall,c. 1938,1933-01-01,1946-01-01,platinum print,2003.29.3,cmoa:things/aa9b1daf-7552-4404-a5b4-f7323ee6d2af,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,3.25,4.625,0.0,0.0,https://collection.carnegieart.org/objects/aa9b1daf-7552-4404-a5b4-f7323ee6d2af,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/38721/4399.jpg,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,,https://cmoa-collection-images.s3.amazonaws.com/thing/38721/sizes/4399-420.jpg
314,"Anna Burns Munhall and dog, Virginia Beach",1939,1939-01-01,1939-01-01,platinum print,2003.29.4,cmoa:things/fe7c8966-0c2a-4d4e-ab19-835abe6a6696,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,4.625,3.25,0.0,0.0,https://collection.carnegieart.org/objects/fe7c8966-0c2a-4d4e-ab19-835abe6a6696,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/38720/4400.jpg,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,,https://cmoa-collection-images.s3.amazonaws.com/thing/38720/sizes/4400-420.jpg
