title,creation_date,medium,department,item_width,item_height,item_depth,classification,full_name,nationality,img_url,value,small_img_url,total
Jug,c. 1885,transfer-printed earthenware,Decorative Arts and Design,3.938,6.5,5.375,Ceramics,Christopher Dresser|Old Hall Earthenware Company Limited,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/9445/CMA-2002-21-1-3-3.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/9445/sizes/CMA-2002-21-1-3-3-420.jpg,13.0
Vase,late 19th century,,Decorative Arts and Design,0.0,19.0,0.0,Ceramics,Christopher Dresser|Ault Pottery,British|,https://cmoa-collection-images.s3.amazonaws.com/thing/20492/43.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/20492/sizes/43-420.jpg,3.0
Hôtel de la Duchesse de Villars--rue des Saints-Pères,1901-1902,albumen print,Photography,7.0,8.5,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98597/44.jpg,2.7,https://cmoa-collection-images.s3.amazonaws.com/thing/98597/sizes/44-420.jpg,54.0
Ancien Monastère des Bénédictins anglais--269 rue Saint-Jacques,1905,albumen print,Photography,7.0,8.75,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98599/46.jpg,2.7,https://cmoa-collection-images.s3.amazonaws.com/thing/98599/sizes/46-420.jpg,54.0
Silver Goblet,c. 1774,"metalwork silver, sterling standard",Decorative Arts and Design,3.75,6.25,3.75,Metals,Charles Aldridge|Henry Green,English|English,https://cmoa-collection-images.s3.amazonaws.com/thing/5493/CMA-22-1-14.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/5493/sizes/CMA-22-1-14-420.jpg,11.0
Table Knife,19th century,"pistol-form silver plate handle, relief molded at end with scrolled leafage. silver plate handle, steel blade.",Decorative Arts and Design,1.0,9.25,0.75,Metals,unknown English,English,https://cmoa-collection-images.s3.amazonaws.com/thing/6305/CMA-48-1-53-K.jpg,2.35,https://cmoa-collection-images.s3.amazonaws.com/thing/6305/sizes/CMA-48-1-53-K-420.jpg,47.0
Table Knife,19th century,"pistol-form silver plate handle, relief molded at end with scrolled leafage. silver plate handle, steel blade.",Decorative Arts and Design,1.0,9.25,0.75,Metals,unknown English,English,https://cmoa-collection-images.s3.amazonaws.com/thing/6306/CMA-48-1-53-M.jpg,2.35,https://cmoa-collection-images.s3.amazonaws.com/thing/6306/sizes/CMA-48-1-53-M-420.jpg,47.0
Green Jacket,1989,oil on canvas,Contemporary Art,48.0,71.5,2.0,paintings,Alex Katz,American,https://cmoa-collection-images.s3.amazonaws.com/thing/101353/57_9109.jpg,33.3,https://cmoa-collection-images.s3.amazonaws.com/thing/101353/sizes/57_9109-420.jpg,666.0
"Fontaine du Montreuil, faubourg Saint-Antoine (à l'angle de la rue de Charonne)",1904-1905,albumen print,Photography,7.0,8.625,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98593/58.jpg,2.7,https://cmoa-collection-images.s3.amazonaws.com/thing/98593/sizes/58-420.jpg,54.0
Plymet cabinet,1945-1946,"cast and sheet aluminum, sheet steel, and birch veneer",Decorative Arts and Design,54.25,35.75,15.625,Metals,Clive Latimer|Heal & Son Ltd.,British|British,https://cmoa-collection-images.s3.amazonaws.com/thing/30844/59.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/30844/sizes/59-420.jpg,7.0
Study for Autumn Foliage,1867,watercolor on paper,Fine Arts,19.25,14.25,0.0,drawings and watercolors,Henry Roderick Newman,American,https://cmoa-collection-images.s3.amazonaws.com/thing/85925/61.jpg,74.35,https://cmoa-collection-images.s3.amazonaws.com/thing/85925/sizes/61-420.jpg,1487.0
Paysage du Bassin d'Arcachon,c. 1930,pastel,Fine Arts,23.625,19.5,2.75,drawings and watercolors,André Lhote,French,https://cmoa-collection-images.s3.amazonaws.com/thing/65538/62.jpg,10.4,https://cmoa-collection-images.s3.amazonaws.com/thing/65538/sizes/62-420.jpg,208.0
"Radierung für ""24 Essais de Jakovski""",1934,drypoint,Fine Arts,14.25,19.25,0.0,prints,Vassily Kandinsky,Russian,https://cmoa-collection-images.s3.amazonaws.com/thing/29669/63.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/29669/sizes/63-420.jpg,6.0
"Rue (du Chevalier) de la Barre-Montmarte, 18e arrondissement",1899-1900,albumen print,Photography,6.75,8.25,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98596/64.jpg,2.7,https://cmoa-collection-images.s3.amazonaws.com/thing/98596/sizes/64-420.jpg,54.0
"Cabaret de l'Épée de Bois - ou fut assassiné, sous la Régence, le financier Lacroix par le Comte de Horn, rue Quincampoix 54 (4e arrondissement)",1901,albumen print,Photography,7.0,8.75,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98607/65.jpg,2.7,https://cmoa-collection-images.s3.amazonaws.com/thing/98607/sizes/65-420.jpg,54.0
"Hôtel, 50 rue de Turenne",1913,albumen print,Photography,8.75,6.938,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98598/66.jpg,2.7,https://cmoa-collection-images.s3.amazonaws.com/thing/98598/sizes/66-420.jpg,54.0
"Façade d'une maison, quai de l'Horloge 21",1913,albumen print,Photography,7.0,8.563,0.0,photographs,Eugène Atget,French,https://cmoa-collection-images.s3.amazonaws.com/thing/98600/67.jpg,2.7,https://cmoa-collection-images.s3.amazonaws.com/thing/98600/sizes/67-420.jpg,54.0
Snuff bottle: Carved Glass,mid 10th century,glass,Decorative Arts and Design,2.25,3.0,1.125,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1788/CMA-82-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1788/sizes/CMA-82-H-420.jpg,17.0
Snuff bottle: Carved Glass,18th-19th century,glass,Decorative Arts and Design,1.75,2.0,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1795/CMA-84-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1795/sizes/CMA-84-H-420.jpg,17.0
Snuff bottle,20th century,glass,Decorative Arts and Design,1.625,2.5,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1807/CMA-90-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1807/sizes/CMA-90-H-420.jpg,17.0
Snuff bottle,early 19th century,glass,Decorative Arts and Design,1.5,2.5,0.875,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1808/CMA-91-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1808/sizes/CMA-91-H-420.jpg,17.0
English Ivory Work Box,18th century,"ivory, metal, wood",Decorative Arts and Design,13.25,12.5,11.0,containers,unknown English,English,https://cmoa-collection-images.s3.amazonaws.com/thing/1680/CMA-5783-1.jpg,2.35,https://cmoa-collection-images.s3.amazonaws.com/thing/1680/sizes/CMA-5783-1-420.jpg,47.0
Bust of Boy Crying,,ivory,Decorative Arts and Design,2.5,5.625,2.5,sculpture,unknown,undetermined,https://cmoa-collection-images.s3.amazonaws.com/thing/0657/CMA-D1100.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/0657/sizes/CMA-D1100-420.jpg,3.0
Bust of Boy Frowning,,ivory,Decorative Arts and Design,3.125,5.375,3.125,sculpture,unknown,undetermined,https://cmoa-collection-images.s3.amazonaws.com/thing/0482/CMA-D1101.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/0482/sizes/CMA-D1101-420.jpg,3.0
Portrait of Bacchus,18th century,ivory,Decorative Arts and Design,3.0,3.625,0.25,sculpture,unknown,undetermined,https://cmoa-collection-images.s3.amazonaws.com/thing/0481/CMA-D1102.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/0481/sizes/CMA-D1102-420.jpg,3.0
Snuff bottle,19th century,"lacquer, jade",Decorative Arts and Design,2.5,2.375,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1809/CMA-98-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1809/sizes/CMA-98-H-420.jpg,37.0
New Suburbanism; sectioned perspective,2000,chromogenic print,Heinz Architectural Center,20.0,30.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/13134/203.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/13134/sizes/203-420.jpg,3859.0
New Suburbanism; dissected oblique projections,2000,chromogenic print,Heinz Architectural Center,48.0,14.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30847/205.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/30847/sizes/205-420.jpg,3859.0
New Suburbanism; sectioned perspective (aerial),2000,chromogenic print,Heinz Architectural Center,20.0,15.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30856/206.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/30856/sizes/206-420.jpg,3859.0
New Suburbanism; sectioned perspective (street),2000,chromogenic print,Heinz Architectural Center,20.0,14.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30857/207.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/30857/sizes/207-420.jpg,3859.0
New Suburbanism; sectioned perspective (interior),2000,chromogenic print,Heinz Architectural Center,20.0,10.0,0.0,photographs,Lewis.Tsurumaki.Lewis,American,https://cmoa-collection-images.s3.amazonaws.com/thing/30859/208.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/30859/sizes/208-420.jpg,3859.0
Wound (Beuys meets Warhol),2002,watercolor on paper,Contemporary Art,18.75,24.688,1.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/37604/210.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/37604/sizes/210-420.jpg,5.0
Shadow (Andy meets Warhol),2002,watercolor on paper,Contemporary Art,22.625,28.625,1.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/37605/211.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/37605/sizes/211-420.jpg,5.0
MD + AW,2002,watercolor and pencil on paper,Contemporary Art,18.0,18.0,0.0,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/153962/212.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/153962/sizes/212-420.jpg,5.0
Star (Andy Warhol meets David Bowie),2002,watercolor on paper,Contemporary Art,22.75,28.75,1.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/29199/213.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/29199/sizes/213-420.jpg,5.0
Figment (Homage to Andy Warhol),2002,watercolor on paper,Contemporary Art,42.25,97.0,2.5,drawings and watercolors,Marlene Dumas,South African,https://cmoa-collection-images.s3.amazonaws.com/thing/225181/214.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/225181/sizes/214-420.jpg,5.0
D'mba (Headdress),20th century,wood and metal,Decorative Arts and Design,12.5,29.0,22.0,Wood,"unknown Guinean, Baga culture",Guinean,https://cmoa-collection-images.s3.amazonaws.com/thing/5175/CMA-2002-28.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/5175/sizes/CMA-2002-28-420.jpg,2.0
Platter,c. 1910,lustreware,Decorative Arts and Design,19.25,2.625,19.25,Ceramics,Cantagalli Workshop,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8425/CMA-2002-29-1.jpg,2.05,https://cmoa-collection-images.s3.amazonaws.com/thing/8425/sizes/CMA-2002-29-1-420.jpg,41.0
Ewer,c. 1910,lustreware,Decorative Arts and Design,6.125,8.125,5.75,Ceramics,Cantagalli Workshop,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8774/CMA-2002-29-2.jpg,2.05,https://cmoa-collection-images.s3.amazonaws.com/thing/8774/sizes/CMA-2002-29-2-420.jpg,41.0
Ewer,c. 1910,lustreware,Decorative Arts and Design,5.625,7.875,5.5,Ceramics,Cantagalli Workshop,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8775/CMA-2002-29-3.jpg,2.05,https://cmoa-collection-images.s3.amazonaws.com/thing/8775/sizes/CMA-2002-29-3-420.jpg,41.0
Plate,c. 1910,lustreware,Decorative Arts and Design,12.125,1.125,12.0,Ceramics,unknown Italian,Italian,https://cmoa-collection-images.s3.amazonaws.com/thing/8426/CMA-2002-29-4.jpg,2.05,https://cmoa-collection-images.s3.amazonaws.com/thing/8426/sizes/CMA-2002-29-4-420.jpg,41.0
Portrait of a Young Girl,c. 1940,watercolor on paper,Fine Arts,16.0,22.0,0.0,drawings and watercolors,Marie Laurencin,French,https://cmoa-collection-images.s3.amazonaws.com/thing/99678/220_cropped.jpg,10.4,https://cmoa-collection-images.s3.amazonaws.com/thing/99678/sizes/220_cropped-420.jpg,208.0
Snuff bottle,c. 1880-1890,"amber, jade",Decorative Arts and Design,1.75,3.0,0.75,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1279/CMA-56-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1279/sizes/CMA-56-H-420.jpg,37.0
Snuff bottle,18th century,amber,Decorative Arts and Design,3.25,1.25,2.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1290/CMA-57-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1290/sizes/CMA-57-H-420.jpg,37.0
Snuff bottle,18th century,amber,Decorative Arts and Design,2.0,2.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1297/CMA-58-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1297/sizes/CMA-58-H-420.jpg,37.0
Snuff bottle,18th century,amber,Decorative Arts and Design,2.0,2.5,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1302/CMA-59-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1302/sizes/CMA-59-H-420.jpg,37.0
Snuff bottle,18th century,amber,Decorative Arts and Design,1.875,2.5,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1306/CMA-60-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1306/sizes/CMA-60-H-420.jpg,37.0
Carved Glass Snuff Bottle,18th-19th century,glass,Decorative Arts and Design,1.875,2.125,0.75,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1398/CMA-72-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1398/sizes/CMA-72-H-420.jpg,37.0
Snuff bottle: Pekin Glass,18th-19th century,glass,Decorative Arts and Design,1.25,2.0,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1417/CMA-73-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1417/sizes/CMA-73-H-420.jpg,17.0
Snuff bottle: Carved Glass,18th-19th century,glass,Decorative Arts and Design,1.75,3.0,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1418/CMA-74-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1418/sizes/CMA-74-H-420.jpg,17.0
Snuff bottle,18th century,agate,Decorative Arts and Design,2.0,2.5,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/2752/CMA-103-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/2752/sizes/CMA-103-H-420.jpg,37.0
Snuff bottle,19th century,agate,Decorative Arts and Design,2.5,3.25,1.375,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1018/CMA-105-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1018/sizes/CMA-105-H-420.jpg,37.0
Snuff bottle,18th century,agate,Decorative Arts and Design,2.25,3.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1019/CMA-106-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1019/sizes/CMA-106-H-420.jpg,37.0
Snuff bottle,18th century,agate,Decorative Arts and Design,2.5,3.75,2.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1607/CMA-107-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1607/sizes/CMA-107-H-420.jpg,37.0
Snuff bottle,18th century,glass,Decorative Arts and Design,2.0,3.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1020/CMA-111-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1020/sizes/CMA-111-H-420.jpg,37.0
Snuff bottle,19th century,glass,Decorative Arts and Design,1.75,2.75,0.75,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1021/CMA-113-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1021/sizes/CMA-113-H-420.jpg,17.0
Snuff bottle,no date,glass,Decorative Arts and Design,1.5,2.75,1.125,Glass,unknown Chinese|Yen Chung San,Chinese|Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1022/CMA-114-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1022/sizes/CMA-114-H-420.jpg,1.0
Snuff bottle,late 19th century,glass,Decorative Arts and Design,1.25,3.0,1.0,Glass,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1024/CMA-117-H.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/1024/sizes/CMA-117-H-420.jpg,17.0
Snuff bottle,18th - 19th century,jade,Decorative Arts and Design,2.0,3.25,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1025/CMA-118-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1025/sizes/CMA-118-H-420.jpg,37.0
Snuff bottle,18th - 19th century,jade,Decorative Arts and Design,1.25,2.0,1.0,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1026/CMA-121-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1026/sizes/CMA-121-H-420.jpg,37.0
Snuff bottle,18th - 19th century,jade,Decorative Arts and Design,2.0,2.5,1.5,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1027/CMA-122-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1027/sizes/CMA-122-H-420.jpg,37.0
Snuff bottle,18th - 19th century,amethyst,Decorative Arts and Design,1.5,2.5,1.375,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1028/CMA-124-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1028/sizes/CMA-124-H-420.jpg,37.0
Snuff bottle: Carved Agate,late 19th century,agate,Decorative Arts and Design,2.5,2.5,1.25,containers,unknown Chinese,Chinese,https://cmoa-collection-images.s3.amazonaws.com/thing/1017/CMA-102-H.jpg,1.85,https://cmoa-collection-images.s3.amazonaws.com/thing/1017/sizes/CMA-102-H-420.jpg,37.0
Dinner plate,1755-1756,sterling silver,Decorative Arts and Design,9.5,0.75,9.875,containers,Peter Archambo II|Peter Meure,English|English,https://cmoa-collection-images.s3.amazonaws.com/thing/8258/CMA-70-32-2309.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/8258/sizes/CMA-70-32-2309-420.jpg,3.0
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.25,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8262/CMA-70-32-2621-1-A-B.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/8262/sizes/CMA-70-32-2621-1-A-B-420.jpg,7.0
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.25,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8268/CMA-70-32-2621-2-A-B.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/8268/sizes/CMA-70-32-2621-2-A-B-420.jpg,7.0
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,2.75,1.25,5.125,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8271/CMA-70-32-2621-3-A-B.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/8271/sizes/CMA-70-32-2621-3-A-B-420.jpg,7.0
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.375,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8274/CMA-70-32-2621-4-A-B.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/8274/sizes/CMA-70-32-2621-4-A-B-420.jpg,7.0
Box,c. 1825-1840,mother of pearl,Decorative Arts and Design,3.0,1.375,2.375,containers,unknown Asian,Asian,https://cmoa-collection-images.s3.amazonaws.com/thing/8277/CMA-70-32-2621-5-A-B.jpg,1.0,https://cmoa-collection-images.s3.amazonaws.com/thing/8277/sizes/CMA-70-32-2621-5-A-B-420.jpg,7.0
Marcel Duchamp,1964,gelatin silver print with hand applied text,Photography,16.0,19.875,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/29084/309.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/29084/sizes/309-420.jpg,3859.0
Jeanne Moreau,1967,gelatin silver print,Photography,14.0,10.938,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/7974/CMA-2002-33-3.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/7974/sizes/CMA-2002-33-3-420.jpg,3859.0
David Hemmings,1968,gelatin silver print,Photography,9.875,8.0,1.375,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/11786/CMA-2002-33-4.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/11786/sizes/CMA-2002-33-4-420.jpg,3859.0
Andy Warhol,1972,three gelatin silver prints,Photography,6.875,4.875,1.25,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/7963/CMA-2002-33-51-1.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/7963/sizes/CMA-2002-33-51-1-420.jpg,3859.0
Andy Warhol,1958,gelatin silver print,Photography,19.875,16.0,0.0,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/127460/316-image.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/127460/sizes/316-image-420.jpg,3859.0
Balthus and Setsuko,2000,gelatin silver print,Photography,13.875,11.0,1.375,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/8501/CMA-2002-33-6.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/8501/sizes/CMA-2002-33-6-420.jpg,3859.0
A Gursky Gherkin is Just a Very Large Pickle,2001,chromogenic print with hand applied text,Photography,72.0,48.0,1.875,photographs,Duane Michals,American,https://cmoa-collection-images.s3.amazonaws.com/thing/94520/318.jpg,192.95,https://cmoa-collection-images.s3.amazonaws.com/thing/94520/sizes/318-420.jpg,3859.0
